Subj	Age	Consent	Gender	NativeGerman	DesignNum	IP	Date
41	20	yes	male	Yes	41	6d24e34e8c63e9e7e55184c3108c9b1d	July 06 2016 14:44:32
42	20	yes	male	Yes	41	ef77386b4ca3b94cd9acfce2fada6526	July 06 2016 14:46:44
17	20	yes	female	Yes	46	4ce120080f95ed78e2d179369aab5fa0	July 08 2016 18:40:07
21	26	yes	male	Yes	47	505bca17fc100a81fa90033f44adb4ca	July 09 2016 11:39:46
6	25	yes	male	Yes	48	c5261d1dde02f8723f90880eec8fbddd	July 10 2016 13:51:32
5	22	yes	female	Yes	48	54d2132147f5b2326f305b6b3ebf6d02	July 10 2016 13:53:03
00	0	yes	male	Yes	50	7da1dfada7686d24d5c2f3b1ddea9c46	July 10 2016 21:56:42
00	0	yes	male	Yes	51	7da1dfada7686d24d5c2f3b1ddea9c46	July 10 2016 22:16:26
111111	99	yes	male	Yes	52	7da1dfada7686d24d5c2f3b1ddea9c46	July 10 2016 22:28:52
43	25	yes	male	Yes	53	9d9c0fb66b89f4100c5fea1e7d08a3fc	July 11 2016 09:03:43
22	25	yes	female	Yes	54	c347f07f7b3924c13f8639f00ec6d580	July 11 2016 11:06:49
25	25	yes	female	Yes	55	154292976c8d94544e66e80622b3d001	July 11 2016 12:51:11
23	26	yes	female	Yes	55	7e95d1f2e6b8fbddc0f1d88133d88a04	July 11 2016 13:04:08
29	21	yes	male	Yes	57	943d54ed2179d58c4f06685a39af27d1	July 11 2016 13:10:09
24	22	yes	female	Yes	58	505bca17fc100a81fa90033f44adb4ca	July 11 2016 17:48:24
13	25	yes	male	Yes	59	7da1dfada7686d24d5c2f3b1ddea9c46	July 11 2016 19:40:56
Vojtech_test	5	yes	male	No	60	f347cb4bbd38258827a2af5e68a532f2	July 11 2016 20:07:49
14	26	yes	female	Yes	61	154292976c8d94544e66e80622b3d001	July 12 2016 08:56:09
37	27	yes	male	Yes	62	d20f84d58b7767e7aad65fce20b32ddb	July 12 2016 14:39:44
7	26	yes	male	Yes	63	c5261d1dde02f8723f90880eec8fbddd	July 12 2016 16:45:03
26	29	yes	female	Yes	64	154292976c8d94544e66e80622b3d001	July 13 2016 12:02:56
27	25	yes	female	Yes	65	154292976c8d94544e66e80622b3d001	July 14 2016 08:39:56
9	20	yes	male	Yes	66	48c06152451a523c6afa4c810ef3fa64	July 14 2016 14:12:33
10	20	yes	female	Yes	67	48c06152451a523c6afa4c810ef3fa64	July 15 2016 07:41:25
44	23	yes	male	Yes	68	884eae492dbaae5120f201443d64c4b8	July 15 2016 10:16:37
11	23	yes	female	Yes	69	48c06152451a523c6afa4c810ef3fa64	July 15 2016 10:37:07
18	22	yes	male	Yes	70	32f53241304112e11875316a036a86ab	July 16 2016 16:51:19
45	26	yes	male	Yes	71	f347cb4bbd38258827a2af5e68a532f2	July 17 2016 10:34:36
49	20	yes	male	Yes	72	7f32263c064bacadbf178f85366def80	July 17 2016 12:52:49
15	25	yes	female	Yes	73	73c698c58be60b07a9e47eb88f8d93f0	July 17 2016 17:19:28
16	21	yes	female	Yes	74	73c698c58be60b07a9e47eb88f8d93f0	July 17 2016 18:04:06
30	25	yes	female	Yes	74	04e1f81007088f6d7324fb8391f90209	July 17 2016 18:52:08
46_newTry	23	yes	female	Yes	77	943d54ed2179d58c4f06685a39af27d1	July 18 2016 09:04:49
33	26	yes	male	Yes	78	9d9c0fb66b89f4100c5fea1e7d08a3fc	July 18 2016 09:28:37
31	27	yes	male	Yes	80	8ce3c8c72508f22571cd4e72199265fe	July 18 2016 10:22:34
28	23	yes	female	Yes	81	154292976c8d94544e66e80622b3d001	July 18 2016 10:47:38
50	23	yes	female	Yes	77	88bbec3c2dc1651dca3d57e44c955fd1	July 18 2016 12:39:22
34	26	yes	male	Yes	82	f5ebbefc97014aba69bd71fdfbf534d5	July 18 2016 12:44:49
32	30	yes	male	Yes	84	5a7c8438ed7660a0d34303d6a36d7ab6	July 18 2016 14:14:30
1	25	yes	female	Yes	85	c10bcf4828f2955fdf75911c798d167b	July 18 2016 16:41:43
47	23	yes	female	Yes	87	943d54ed2179d58c4f06685a39af27d1	July 19 2016 08:59:22
2	22	yes	female	Yes	86	c10bcf4828f2955fdf75911c798d167b	July 19 2016 08:59:38
38	26	yes	male	Yes	88	d20f84d58b7767e7aad65fce20b32ddb	July 19 2016 09:37:12
19	28	yes	male	Yes	89	f3fc6702477a747efada0b0eba94a319	July 19 2016 15:06:05
8	22	yes	male	Yes	90	c5261d1dde02f8723f90880eec8fbddd	July 19 2016 18:30:21
51	23	yes	male	Yes	91	88bbec3c2dc1651dca3d57e44c955fd1	July 20 2016 07:42:05
3	23	yes	female	Yes	92	c10bcf4828f2955fdf75911c798d167b	July 20 2016 09:22:36
4	22	yes	female	Yes	93	c10bcf4828f2955fdf75911c798d167b	July 20 2016 11:34:54
52	28	yes	male	Yes	93	7f32263c064bacadbf178f85366def80	July 20 2016 11:52:55
